City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-04-11 20:11:40,-33.9258,18.4232,66.0,94,0,12.66
68,Hilo,US,2021-04-11 20:13:07,19.7297,-155.09,80.6,44,40,6.91
69,Zabol,AF,2021-04-11 20:15:23,32.25,67.25,60.94,24,100,5.26
70,Pisco,PE,2021-04-11 20:14:46,-13.7,-76.2167,77.0,57,0,18.41
71,Souillac,MU,2021-04-11 20:15:24,-20.5167,57.5167,78.8,89,40,6.91
72,Pevek,RU,2021-04-11 20:11:23,69.7008,170.3133,-20.4,100,100,4.16
73,Ruteng,ID,2021-04-11 20:15:00,-8.6136,120.4721,59.76,81,15,1.72
74,Manokwari,ID,2021-04-11 20:15:18,-0.8667,134.0833,77.47,80,98,4.56
75,Rikitea,PF,2021-04-11 20:15:24,-23.1203,-134.9692,78.21,75,7,10.07
76,Nikolskoye,RU,2021-04-11 20:15:25,59.7035,30.7861,42.8,45,0,4.47
77,Havre,FR,2021-04-11 20:06:08,49.5833,0.3333,41.0,70,40,11.5
78,San Carlos De Bariloche,AR,2021-04-11 20:05:45,-41.1456,-71.3082,62.6,59,40,24.16
79,Baykit,RU,2021-04-11 20:05:59,61.67,96.37,29.28,97,100,2.62
80,Cariati,IT,2021-04-11 20:15:25,39.4922,16.9594,52.0,87,96,1.01
81,Clinton,US,2021-04-11 20:15:25,42.587,-82.9199,61.0,94,75,9.22
82,Jaffna,LK,2021-04-11 20:15:26,9.6685,80.0074,81.14,80,68,9.91
83,Kodinsk,RU,2021-04-11 20:15:26,58.6881,99.1844,29.48,98,100,3.11
84,Castro,BR,2021-04-11 20:14:18,-24.7911,-50.0119,75.74,57,19,4.88
85,Presidente Epitacio,BR,2021-04-11 20:15:27,-21.7633,-52.1156,94.39,19,0,4.61
86,Mount Gambier,AU,2021-04-11 20:15:27,-37.8333,140.7667,51.8,82,90,5.75
87,Youhao,CN,2021-04-11 20:15:28,47.8667,128.8333,41.83,92,100,3.09
88,Para De Minas,BR,2021-04-11 20:15:29,-19.8603,-44.6083,82.4,34,0,3.44
89,Luderitz,NA,2021-04-11 20:07:08,-26.6481,15.1594,75.24,45,0,2.95
90,Hay River,CA,2021-04-11 20:05:52,60.8156,-115.7999,10.4,67,100,8.05
91,Sistranda,NO,2021-04-11 20:12:19,63.7256,8.834,35.6,87,0,5.75
92,Atar,MR,2021-04-11 20:12:02,20.5169,-13.0499,86.5,15,2,11.34
93,Kaa-Khem,RU,2021-04-11 20:15:29,51.6833,94.7333,33.15,55,100,3.83
94,Kavieng,PG,2021-04-11 20:15:29,-2.5744,150.7967,77.16,87,100,3.13
95,Lieksa,FI,2021-04-11 20:15:30,63.3167,30.0167,30.67,90,61,6.78
96,Saint-Philippe,RE,2021-04-11 20:14:41,-21.3585,55.7679,78.8,73,0,5.75
97,Santa Barbara,US,2021-04-11 20:15:30,34.7333,-120.0343,69.01,55,1,4.61
98,Houma,US,2021-04-11 20:15:31,29.5958,-90.7195,81.0,38,1,8.79
99,Willemstad,CW,2021-04-11 20:15:32,12.1084,-68.9335,84.2,70,20,11.5
100,Lynchburg,US,2021-04-11 20:15:11,37.4138,-79.1423,73.99,40,90,10.36
101,Bluff,NZ,2021-04-11 20:15:33,-46.6,168.3333,48.0,98,20,1.99
102,Port Alfred,ZA,2021-04-11 20:15:33,-33.5906,26.891,66.96,91,95,3.56
103,Paranaiba,BR,2021-04-11 20:15:33,-19.6772,-51.1908,91.72,18,0,4.74
104,Bengkulu,ID,2021-04-11 20:11:21,-3.8004,102.2655,75.24,91,100,3.78
105,Camana,PE,2021-04-11 20:15:29,-16.6228,-72.7111,71.02,72,79,9.4
106,Banda Aceh,ID,2021-04-11 20:15:34,5.5577,95.3222,79.7,80,6,3.13
107,Tocopilla,CL,2021-04-11 20:15:35,-22.092,-70.1979,70.95,66,17,8.1
108,Chuy,UY,2021-04-11 20:11:24,-33.6971,-53.4616,65.08,77,89,22.19
109,Bridlington,GB,2021-04-11 20:15:35,54.0831,-0.1919,35.01,77,87,3.0
110,Mama,RU,2021-04-11 20:15:36,58.3106,112.8986,2.34,97,100,3.0
111,Beloha,MG,2021-04-11 20:15:36,-25.1667,45.05,72.86,89,24,11.07
112,Izumo,JP,2021-04-11 20:15:37,35.3667,132.7667,48.2,71,75,4.61
113,Tulum,MX,2021-04-11 20:15:37,20.2167,-87.4667,87.01,70,75,11.5
114,Mehamn,NO,2021-04-11 20:10:53,71.0357,27.8492,35.6,75,40,25.32
115,Korostyshiv,UA,2021-04-11 20:15:04,50.3172,29.0563,44.92,62,0,6.73
116,Lebu,CL,2021-04-11 20:15:37,-37.6167,-73.65,60.4,75,0,14.05
117,Kruisfontein,ZA,2021-04-11 20:14:34,-34.0033,24.7314,61.0,89,100,1.99
118,Thaba Nchu,ZA,2021-04-11 20:13:03,-29.2093,26.839,60.8,67,13,2.3
119,Vestmannaeyjar,IS,2021-04-11 20:05:47,63.4427,-20.2734,41.29,89,100,18.59
120,Kirakira,SB,2021-04-11 20:14:49,-10.4544,161.9205,78.66,84,100,0.25
121,Hohhot,CN,2021-04-11 20:06:43,40.8106,111.6522,44.6,70,40,8.95
122,Thiruvananthapuram,IN,2021-04-11 20:15:38,8.4833,76.9167,80.6,94,40,2.3
123,Amapa,BR,2021-04-11 20:05:57,1.0,-52.0,77.4,96,98,3.38
124,Enshi,CN,2021-04-11 20:15:39,30.3,109.4833,53.02,96,100,2.91
125,Aklavik,CA,2021-04-11 20:15:21,68.2191,-135.0107,-2.2,50,1,6.91
126,Santa Maria Di Sala,IT,2021-04-11 20:15:40,45.5069,12.0297,51.01,95,98,1.99
127,Buluang,PH,2021-04-11 20:15:40,13.3068,123.3425,72.9,88,94,4.74
128,Vila Velha,BR,2021-04-11 20:14:16,-20.3297,-40.2925,80.6,69,0,6.91
129,Betioky,MG,2021-04-11 20:15:41,-23.7167,44.3833,73.13,73,0,8.01
130,Butaritari,KI,2021-04-11 20:11:39,3.0707,172.7902,80.78,78,34,9.46
131,Chadiza,ZM,2021-04-11 20:15:41,-14.0678,32.4392,62.55,94,100,3.06
132,Oranjestad,AW,2021-04-11 20:15:41,12.524,-70.027,84.2,70,40,24.16
133,Mahebourg,MU,2021-04-11 20:11:18,-20.4081,57.7,78.8,89,75,10.36
134,Mareeba,AU,2021-04-11 20:15:42,-17.0,145.4333,71.6,94,2,1.14
135,Hamilton,US,2021-04-11 20:15:12,39.1834,-84.5333,52.0,82,90,16.11
136,Broken Hill,AU,2021-04-11 20:06:21,-31.95,141.4333,44.6,65,21,4.61
137,Khatanga,RU,2021-04-11 20:11:11,71.9667,102.5,17.46,85,98,12.75
138,Bekovo,RU,2021-04-11 20:15:43,52.4663,43.712,41.59,96,100,9.28
139,Ahuimanu,US,2021-04-11 20:14:11,21.4447,-157.8378,75.2,68,75,6.91
140,Bolitoc,PH,2021-04-11 20:15:43,15.7395,119.8769,77.9,73,54,4.27
141,Puerto Ayora,EC,2021-04-11 20:15:43,-0.7393,-90.3518,82.4,74,40,9.22
142,West Bay,KY,2021-04-11 20:07:11,19.3667,-81.4167,86.0,70,40,12.66
143,Saint-Augustin,CA,2021-04-11 20:15:28,51.226,-58.6502,44.13,89,100,21.39
144,Ostrovnoy,RU,2021-04-11 20:12:31,68.0531,39.5131,34.11,83,100,25.88
145,Graaff-Reinet,ZA,2021-04-11 20:15:44,-32.2522,24.5308,66.0,56,100,1.01
146,Rocha,UY,2021-04-11 20:15:45,-34.4833,-54.3333,62.85,83,100,24.16
147,Vrangel,RU,2021-04-11 20:15:45,42.7297,133.0839,41.38,91,99,5.57
148,Mar Del Plata,AR,2021-04-11 20:11:45,-38.0023,-57.5575,68.0,56,20,16.11
149,Palmer,US,2021-04-11 20:14:06,42.1584,-72.3287,51.8,71,90,13.8
150,Mollendo,PE,2021-04-11 20:07:19,-17.0231,-72.0147,69.51,75,100,9.13
151,Pitea,SE,2021-04-11 20:15:46,65.3172,21.4794,37.4,60,3,4.61
152,Airai,TL,2021-04-11 20:15:09,-8.9266,125.4092,58.24,88,29,2.24
153,Shizunai,JP,2021-04-11 20:15:46,42.3339,142.3669,38.97,72,13,3.76
154,San Cristobal,VE,2021-04-11 20:15:46,7.7669,-72.225,87.8,58,40,13.8
155,Guayaramerin,BO,2021-04-11 20:15:47,-10.8368,-65.3614,91.4,58,20,4.61
156,Miri,MY,2021-04-11 20:14:26,4.4148,114.0089,77.0,94,40,3.44
157,Tiksi,RU,2021-04-11 20:11:14,71.6872,128.8694,2.1,73,100,7.74
158,Arman,RU,2021-04-11 20:15:47,59.7,150.1667,7.43,87,100,13.24
159,Olafsvik,IS,2021-04-11 20:15:48,64.8945,-23.7142,36.3,82,99,18.54
160,Carutapera,BR,2021-04-11 20:14:46,-1.195,-46.02,80.11,81,100,7.16
161,Iqaluit,CA,2021-04-11 20:11:43,63.7506,-68.5145,28.4,93,90,20.71
162,Georgetown,MY,2021-04-11 20:13:02,5.4112,100.3354,81.0,89,20,3.83
163,Emba,KZ,2021-04-11 20:01:27,48.8264,58.1442,45.14,66,0,10.25
164,Qaanaaq,GL,2021-04-11 20:11:07,77.484,-69.3632,22.93,96,100,8.41
165,Hami,CN,2021-04-11 20:15:49,42.8,93.45,53.96,26,100,5.73
166,Ambagarh Chauki,IN,2021-04-11 20:15:49,20.7833,80.7167,79.56,40,86,4.72
167,Mount Isa,AU,2021-04-11 20:15:50,-20.7333,139.5,66.2,30,0,11.5
168,Carnarvon,AU,2021-04-11 20:14:27,-24.8667,113.6333,78.8,89,90,16.11
169,Freeport,US,2021-04-11 20:11:11,40.6576,-73.5832,57.0,94,90,12.66
170,Roald,NO,2021-04-11 20:15:26,62.5833,6.1333,39.2,75,20,16.11
171,Shieli,KZ,2021-04-11 20:15:51,44.1667,66.75,48.38,75,60,9.78
172,Surat Thani,TH,2021-04-11 20:15:51,9.1667,99.25,80.01,85,84,2.59
173,Borovoy,RU,2021-04-11 20:15:51,55.4333,86.0833,39.2,52,0,4.47
174,Corinto,GR,2021-04-11 20:14:26,37.9407,22.9573,51.01,58,0,1.01
175,Puerto Escondido,MX,2021-04-11 20:11:08,15.85,-97.0667,86.0,74,20,11.5
176,Howard Springs,AU,2021-04-11 20:15:52,-12.497,131.047,80.6,83,40,6.91
177,Dongsheng,CN,2021-04-11 20:11:46,39.8161,109.9776,43.56,82,100,9.37
178,Naze,JP,2021-04-11 20:08:37,28.3667,129.4833,64.71,69,48,19.89
179,Cairns,AU,2021-04-11 20:11:22,-16.9167,145.7667,71.6,94,4,1.14
180,Petropavlovsk-Kamchatskiy,RU,2021-04-11 20:15:26,53.0452,158.6483,24.8,80,55,4.47
181,Sabha,LY,2021-04-11 20:15:53,27.0377,14.4283,79.65,13,99,21.12
182,Chokurdakh,RU,2021-04-11 20:14:26,70.6333,147.9167,-16.1,99,64,9.19
183,San Patricio,US,2021-04-11 20:14:15,28.017,-97.5169,84.0,61,40,12.66
184,Madanapalle,IN,2021-04-11 20:15:54,13.55,78.5,72.21,85,9,4.97
185,Cabo San Lucas,MX,2021-04-11 20:14:48,22.8909,-109.9124,82.0,41,75,11.5
